总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
223750236822.94,223745956333.5,银行,19910403,000001,平安银行,19405918198.0,19405546950.0
197954675196.41998,165389479794.8,房地产开发,19910129,000002,万  科Ａ,11630709471.0,9717360740.0
30516059363.020004,29768664390.960003,计算机设备,19970626,000066,中国长城,3225799087.0,3146793276.0
99846852276.33,77698496345.88,化纤行业,20000529,000301,东方盛虹,6213245319.0,4835002884.0
96940734518.55,45798420380.05,中药,19931215,000538,云南白药,1796862549.0,848904919.0
312378801550.2,310797156662.1,酿酒行业,19940509,000568,泸州老窖,1471957410.0,1464504555.0
388332763494.0,388146333194.1,光伏设备,20120411,601012,隆基绿能,7581662700.0,7578022905.0
133206180973.61,92460994560.06,汽车整车,20120329,601238,广汽集团,10463957657.0,7263236022.0
116069808031.5,84345150351.5,工程建设,20120309,601800,中国交建,16165711425.0,11747235425.0
79069088929.31999,51274772246.88,医疗服务,20120817,300347,泰格医药,872438364.0,565759376.0
96332613000.18,78343345880.74,小金属,20121009,603993,洛阳钼业,21599240583.0,17565772619.0
335835071076.98004,328700158882.76,家电行业,20130918,000333,美的集团,6998021902.0,6849346924.0
75525246409.84,75525246409.84,光伏设备,20140905,603806,福斯特,1331545247.0,1331545247.0
174688557364.0,169256240448.0,电池,20091030,300014,亿纬锂能,1898788667.0,1839741744.0
106309631577.66,58077425550.28,船舶制造,19980520,600150,中国船舶,4472428758.0,2443307764.0
35460861257.76,35460861257.76,生物制品,19980616,600161,天坛生物,1647809538.0,1647809538.0
86155711704.72,59869929899.43,钢铁行业,20010309,600010,包钢股份,45585032648.0,31677211587.0
232822848744.64,155442737394.56,家电行业,19931119,600690,海尔智家,9448979251.0,6308552654.0
41665640597.5,41526087479.0,家用轻工,20150127,603899,晨光股份,926933050.0,923828420.0
98511923296.34999,97368579103.5,能源金属,20150129,603799,华友钴业,1597922519.0,1579376790.0
67548330071.4,59382388768.8,证券,20150323,600958,东方证券,8496645292.0,7469482864.0
119134539104.24,119134539104.24,电力行业,20150610,601985,中国核电,18850401757.0,18850401757.0
131625597593.56001,108334028985.56001,工程建设,20071203,601390,中国中铁,24741653683.0,20363539283.0
114050466000.0,77464617701.40001,证券,19940224,600837,海通证券,13064200000.0,8873381180.0
48155134201.0,48155134201.0,酿酒行业,19971030,600132,重庆啤酒,483971198.0,483971198.0
91918523179.86,54557302044.62,航空机场,19971105,600115,中国东航,18874440078.0,11202731426.0
170111197474.4,170111197474.4,汽车整车,19971125,600104,上汽集团,11683461365.0,11683461365.0
124511573067.86,124183390642.86,工程机械,20030703,600031,三一重工,8493286021.0,8470899771.0
30613852802.600002,30613852802.600002,化学制品,20030801,600352,浙江龙盛,3253331860.0,3253331860.0
51588075969.87,41435795768.07,风电设备,20071226,002202,金风科技,4225067647.0,3393595067.0
40872177071.0,26040716651.4,医疗器械,20160802,300529,健帆生物,807750535.0,514638669.0
57650983541.64001,57321698292.57001,半导体,20160818,603986,兆易创新,667025148.0,663215299.0
22340285610.57,22336325486.57,半导体,20161017,603160,汇顶科技,458074341.0,457993141.0
84245504041.11,81903379612.37999,银行,20161116,601229,上海银行,14206661727.0,13811699766.0
239572766922.72,201037606662.27,互联网服务,20100319,300059,东方财富,13214162544.0,11088671079.0
173046339700.30002,171324060030.2,电网设备,20031016,600406,国电南瑞,6694249118.0,6627623212.0
40543679932.43,40543679932.43,证券,19970519,600061,国投资本,6425305853.0,6425305853.0
290143985708.66,290143985708.66,化学制品,20010105,600309,万华化学,3139746626.0,3139746626.0
25992567866.32,25949153477.52,珠宝首饰,19920902,600655,豫园股份,3891102974.0,3884603814.0
45555031253.65,45555031253.65,半导体,20030311,600460,士兰微,1416071845.0,1416071845.0
38665680176.76,26992295373.71,医疗器械,20170117,300595,欧普康视,894831756.0,624677051.0
44433696232.8,28371069410.88,消费电子,20170119,002841,视源股份,696016545.0,444408982.0
98230099400.4,62464458306.63,证券,20170123,601881,中国银河,10137265160.0,6446280527.0
36068627372.34,27802409874.329998,生物制品,20170207,300601,康泰生物,1120491686.0,863697107.0
57738907125.9,32866452294.3,通信设备,20170317,300628,亿联网络,902311410.0,513618570.0
86639390102.62,86348564819.94,电池,20171103,603659,璞泰来,1390903678.0,1386234786.0
783832801279.08,641147592853.32,银行,20020409,600036,招商银行,25219845601.0,20628944429.0
114544947589.92,88966950703.92,证券,19970611,000776,广发证券,7621087664.0,5919291464.0
88474450634.25,88474450634.25,电网设备,19970618,600089,特变电工,3871967205.0,3871967205.0
67366619269.439995,67366619269.439995,中药,19970625,600085,同仁堂,1371470262.0,1371470262.0
39291762924.01,38925376211.89,电子元件,20171213,002916,深南电路,512880341.0,508097849.0
57734562682.79,57572722546.71,银行,20180131,601838,成都银行,3684400937.0,3674072913.0
48731377003.54,48731377003.54,软件开发,20120116,601360,三六零,7145363197.0,7145363197.0
239675562558.08,207144752770.56,医疗服务,20180508,603259,药明康德,2960419498.0,2558606136.0
40154933943.6,26131380374.399998,软件开发,20180516,300454,深信服,415682546.0,270511184.0
